cellfinder_index,cf_x_um,cf_y_um,cf_z_um,nearest_pipeline_index,pipeline_x_um,pipeline_y_um,pipeline_z_um,nearest_distance_um,mutual_match,matched_within_10um,distance_group
785,11223.716,4347.32,12.0,733,11223.716,4347.32,6.0,6.0,True,True,6-10um
786,11002.836,4483.864,12.0,762,11002.836,4482.86,6.0,6.0834,True,True,6-10um
787,1781.096,4562.176,12.0,794,1781.096,4562.176,6.0,6.0,True,True,6-10um
788,1528.088,4585.268,18.0,2011,1528.088,4585.268,12.0,6.0,True,True,6-10um
789,1763.024,4607.356,12.0,2015,1762.02,4607.356,12.0,1.004,True,True,0-3um
790,1412.628,4680.648,12.0,833,1413.632,4681.652,12.0,1.4199,True,True,0-3um
791,1434.716,4713.78,12.0,841,1432.708,4710.768,6.0,7.0074,True,True,6-10um
792,1787.12,4740.888,12.0,851,1786.116,4740.888,12.0,1.004,True,True,0-3um
793,1616.44,4929.64,18.0,916,1616.44,4929.64,6.0,12.0,True,False,10-20um
794,1654.592,5022.008,12.0,942,1657.604,5024.016,6.0,7.0074,True,True,6-10um
795,1453.792,5207.748,12.0,1001,1452.788,5207.748,24.0,12.0419,False,False,10-20um
796,8630.384,5348.308,18.0,2184,8630.384,5348.308,18.0,0.0,True,True,0-3um
797,1548.168,5550.112,12.0,1133,1548.168,5550.112,12.0,0.0,True,True,0-3um
798,4983.856,5678.624,12.0,1185,4984.86,5678.624,6.0,6.0834,True,True,6-10um
799,8315.128,5690.672,12.0,2303,8316.132,5690.672,12.0,1.004,True,True,0-3um
800,11132.352,5743.884,12.0,1201,11132.352,5743.884,6.0,6.0,True,True,6-10um
801,5083.252,6520.98,12.0,2543,5083.252,6520.98,12.0,0.0,True,True,0-3um
802,2393.536,1097.372,18.0,2584,2393.536,1097.372,0.0,18.0,True,False,10-20um
803,4370.412,1552.184,24.0,3771,4281.056,1678.688,18.0,154.996,False,False,over_20um
804,4357.36,1558.208,24.0,3771,4281.056,1678.688,18.0,142.7366,False,False,over_20um
805,4221.82,1610.416,30.0,3770,4151.54,1651.58,18.0,82.3271,False,False,over_20um
806,4254.952,1630.496,24.0,3771,4281.056,1678.688,18.0,55.1352,False,False,over_20um
807,4078.248,1689.732,30.0,1469,4136.48,1704.792,6.0,64.7593,False,False,over_20um
808,4058.168,1694.752,30.0,1469,4136.48,1704.792,6.0,82.5201,False,False,over_20um
809,4119.412,1705.796,30.0,1469,4136.48,1704.792,6.0,29.4673,False,False,over_20um
810,4019.012,1715.836,30.0,1469,4136.48,1704.792,6.0,120.4022,False,False,over_20um
811,4164.592,1726.88,18.0,1469,4136.48,1704.792,6.0,37.7116,False,False,over_20um
812,4231.86,1734.912,18.0,2596,4277.04,1769.048,12.0,56.9429,False,False,over_20um
813,4169.612,1739.932,18.0,1469,4136.48,1704.792,6.0,49.7649,False,False,over_20um
814,4069.212,1750.976,24.0,1469,4136.48,1704.792,6.0,83.558,False,False,over_20um
815,4107.364,1753.988,30.0,1469,4136.48,1704.792,6.0,61.9999,False,False,over_20um
816,3944.716,1770.052,24.0,7434,3936.684,1832.3,6.0,65.2942,False,False,over_20um
817,3978.852,1792.14,24.0,7434,3936.684,1832.3,6.0,60.9505,False,False,over_20um
818,3972.828,1804.188,18.0,7434,3936.684,1832.3,6.0,47.3358,False,False,over_20um
819,3985.88,1816.236,18.0,7434,3936.684,1832.3,6.0,53.1253,False,False,over_20um
820,4074.232,1818.244,18.0,1469,4136.48,1704.792,6.0,129.9622,False,False,over_20um
821,4056.16,1829.288,18.0,7434,3936.684,1832.3,6.0,120.1149,False,False,over_20um
822,4085.276,1831.296,30.0,21,4153.548,1942.74,0.0,134.0926,False,False,over_20um
823,4035.076,1846.356,24.0,7434,3936.684,1832.3,6.0,101.0077,False,False,over_20um
824,3832.268,1866.436,24.0,5040,3819.216,1879.488,36.0,22.0161,False,False,over_20um
825,3819.216,1879.488,30.0,5040,3819.216,1879.488,36.0,6.0,True,True,6-10um
826,4018.008,1884.508,30.0,7434,3936.684,1832.3,6.0,99.5754,False,False,over_20um
827,3296.132,1891.536,18.0,1483,3302.156,1923.664,12.0,33.234,False,False,over_20um
828,3837.288,1903.584,30.0,2608,3850.34,1920.652,18.0,24.6104,False,False,over_20um
829,3451.752,1899.568,18.0,1493,3530.064,2006.996,12.0,133.0772,False,False,over_20um
830,4066.2,1900.572,18.0,2614,4120.416,1965.832,18.0,84.8425,False,False,over_20um
831,3688.696,1902.58,18.0,6202,3710.784,1927.68,30.0,35.5231,False,False,over_20um
832,4052.144,1910.612,30.0,2614,4120.416,1965.832,18.0,88.6246,False,False,over_20um
833,3595.324,1912.62,18.0,2613,3606.368,1953.784,18.0,42.6198,False,False,over_20um
834,4013.992,1915.632,24.0,7434,3936.684,1832.3,6.0,115.0858,False,False,over_20um
835,3461.792,1921.656,18.0,1493,3530.064,2006.996,12.0,109.4531,False,False,over_20um
836,3636.488,1925.672,18.0,2613,3606.368,1953.784,18.0,41.2007,False,False,over_20um
837,3694.72,1926.676,18.0,6202,3710.784,1927.68,30.0,20.0764,False,False,over_20um
838,4078.248,1927.68,18.0,2614,4120.416,1965.832,18.0,56.8658,False,False,over_20um
839,3747.932,1927.68,18.0,2609,3771.024,1931.696,18.0,23.4386,False,False,over_20um
840,3483.88,1928.684,18.0,1493,3530.064,2006.996,12.0,91.1138,False,False,over_20um
841,4022.024,1932.7,18.0,2614,4120.416,1965.832,18.0,103.8206,False,False,over_20um
842,3499.944,1936.716,24.0,1493,3530.064,2006.996,12.0,77.3983,False,False,over_20um
843,3722.832,1940.732,24.0,6202,3710.784,1927.68,30.0,18.7486,False,False,10-20um
844,3804.156,1937.72,18.0,5045,3807.168,1907.6,24.0,30.8591,False,False,over_20um
845,3984.876,1941.736,18.0,3793,3937.688,2012.016,18.0,84.6521,False,False,over_20um
846,9923.536,1951.776,18.0,2612,9923.536,1951.776,12.0,6.0,True,True,6-10um
847,3405.568,1954.788,18.0,1483,3302.156,1923.664,12.0,108.1607,False,False,over_20um
848,3368.42,1959.808,24.0,1483,3302.156,1923.664,12.0,76.4284,False,False,over_20um
849,3682.672,1963.824,30.0,6202,3710.784,1927.68,30.0,45.7894,False,False,over_20um
850,3371.432,1979.888,30.0,1483,3302.156,1923.664,12.0,91.0181,False,False,over_20um
851,5508.948,1971.856,18.0,2615,5508.948,1971.856,18.0,0.0,True,True,0-3um
852,3349.344,1972.86,18.0,1483,3302.156,1923.664,12.0,68.4321,False,False,over_20um
853,4073.228,1978.884,18.0,3791,4104.352,2010.008,24.0,44.423,False,False,over_20um
854,2969.832,1987.92,18.0,31,2952.764,2001.976,6.0,25.1573,False,False,over_20um
855,4063.188,2035.108,30.0,38,4082.264,2068.24,6.0,45.14,False,False,over_20um
856,3413.6,2038.12,24.0,41,3442.716,2095.348,0.0,68.5477,False,False,over_20um
857,3355.368,2041.132,24.0,3818,3362.396,2109.404,18.0,68.8945,False,False,over_20um
858,2951.76,2054.184,24.0,2624,2950.756,2055.188,18.0,6.1657,True,True,6-10um
859,3353.36,2055.188,24.0,3818,3362.396,2109.404,18.0,55.2904,False,False,over_20um
860,3389.504,2065.228,30.0,3818,3362.396,2109.404,18.0,53.2012,False,False,over_20um
861,3610.384,2091.332,18.0,2628,3602.352,2081.292,18.0,12.8575,True,False,10-20um
862,3381.472,2104.384,30.0,3818,3362.396,2109.404,18.0,23.0888,False,False,over_20um
863,4086.28,2116.432,18.0,38,4082.264,2068.24,6.0,49.8257,False,False,over_20um
864,4109.372,2121.452,18.0,6229,4148.528,2118.44,36.0,43.2003,False,False,over_20um
865,3334.284,2139.524,24.0,63,3350.348,2160.608,0.0,35.7573,False,False,over_20um
866,3369.424,2148.56,30.0,63,3350.348,2160.608,0.0,37.5373,False,False,over_20um
867,4001.944,2155.588,18.0,2643,3981.864,2152.576,12.0,21.1726,True,False,over_20um
868,3382.476,2154.584,30.0,63,3350.348,2160.608,0.0,44.3677,False,False,over_20um
869,3400.548,2168.64,18.0,3844,3399.544,2202.776,24.0,34.6738,False,False,over_20um
870,3369.424,2175.668,24.0,63,3350.348,2160.608,0.0,34.157,False,False,over_20um
871,3908.572,2190.728,24.0,6248,3902.548,2201.772,36.0,17.3856,True,False,10-20um
872,3393.52,2200.768,30.0,3844,3399.544,2202.776,24.0,8.7362,True,True,6-10um
873,4085.276,2208.8,30.0,3837,4114.392,2180.688,18.0,42.214,False,False,over_20um
874,3397.536,2256.992,30.0,129,3402.556,2284.1,0.0,40.7436,False,False,over_20um
875,4055.156,2272.052,24.0,6275,4032.064,2309.2,36.0,45.3565,False,False,over_20um
876,3426.652,2280.084,24.0,129,3402.556,2284.1,0.0,34.2454,False,False,over_20um
877,4023.028,2291.128,24.0,6275,4032.064,2309.2,36.0,23.4999,False,False,over_20um
878,4051.14,2296.148,30.0,6275,4032.064,2309.2,36.0,23.8799,False,False,over_20um
879,3389.504,2318.236,24.0,129,3402.556,2284.1,0.0,43.7221,False,False,over_20um
880,4058.168,2335.304,24.0,6275,4032.064,2309.2,36.0,38.818,False,False,over_20um
881,4010.98,2368.436,18.0,5108,3992.908,2313.216,30.0,59.3283,False,False,over_20um
882,3931.664,2376.468,30.0,1569,3919.616,2364.42,6.0,29.4331,False,False,over_20um
883,3411.592,2376.468,24.0,1582,3444.724,2414.62,12.0,51.9356,False,False,over_20um
884,3436.692,2379.48,18.0,1582,3444.724,2414.62,12.0,36.5422,False,False,over_20um
885,4052.144,2383.496,18.0,6275,4032.064,2309.2,36.0,79.0386,False,False,over_20um
886,3389.504,2385.504,18.0,3909,3371.432,2416.628,24.0,36.487,False,False,over_20um
887,3394.524,2419.64,30.0,3909,3371.432,2416.628,24.0,24.0481,False,False,over_20um
888,3428.66,2417.632,24.0,1582,3444.724,2414.62,12.0,20.2762,False,False,over_20um
889,3419.624,2431.688,18.0,1582,3444.724,2414.62,12.0,30.9407,False,False,over_20um
890,4007.968,2452.772,18.0,2710,3953.752,2411.608,18.0,68.0724,False,False,over_20um
891,3974.836,2471.848,30.0,2710,3953.752,2411.608,18.0,64.9415,False,False,over_20um
892,3898.532,2480.884,24.0,242,3888.492,2499.96,12.0,24.6718,False,False,over_20um
893,3591.308,2482.892,24.0,3925,3606.368,2479.88,24.0,15.3582,False,False,10-20um
894,3419.624,2487.912,18.0,6319,3431.672,2457.792,36.0,37.0994,False,False,over_20um
895,3945.72,2492.932,18.0,259,3921.624,2537.108,0.0,53.4428,False,False,over_20um
896,3448.74,2522.048,18.0,5140,3464.804,2463.816,30.0,61.5875,False,False,over_20um
897,3807.168,2518.032,18.0,1611,3819.216,2516.024,12.0,13.6083,False,False,10-20um
898,3886.484,2578.272,30.0,259,3921.624,2537.108,0.0,61.8813,False,False,over_20um
899,3426.652,2588.312,18.0,6337,3394.524,2602.368,30.0,37.0645,False,False,over_20um
