x,y,z,plane,x_um,y_um,z_um
4011,2104,4,5,4027.044,2112.416,24.0
4017,2082,1,2,4033.068,2090.328,6.0
3391,2089,4,5,3404.564,2097.356,24.0
4073,2088,1,2,4089.292,2096.352,6.0
3446,2090,1,2,3459.784,2098.36,6.0
4024,2094,1,2,4040.096,2102.376,6.0
3403,2095,1,2,3416.612,2103.38,6.0
3712,2103,1,2,3726.848,2111.412,6.0
3528,2103,1,2,3542.112,2111.412,6.0
3382,2110,3,4,3395.528,2118.44,18.0
3850,2104,1,2,3865.4,2112.416,6.0
3867,2110,1,2,3882.468,2118.44,6.0
3991,2112,1,2,4006.964,2120.448,6.0
4040,2114,1,2,4056.16,2122.456,6.0
4056,2118,2,3,4072.224,2126.472,12.0
3760,2119,1,2,3775.04,2127.476,6.0
4012,2144,4,5,4028.0480000000002,2152.576,24.0
3585,2122,1,2,3599.34,2130.488,6.0
3712,2134,1,2,3726.848,2142.536,6.0
3422,2145,2,3,3435.688,2153.58,12.0
4019,2146,1,2,4035.076,2154.584,6.0
3374,2150,1,2,3387.496,2158.6,6.0
3336,2152,1,2,3349.344,2160.608,6.0
4060,2157,2,3,4076.2400000000002,2165.628,12.0
3401,2158,1,2,3414.604,2166.632,6.0
4038,2161,1,2,4054.152,2169.6440000000002,6.0
4005,2163,1,2,4021.02,2171.652,6.0
3524,2165,1,2,3538.096,2173.66,6.0
3446,2168,1,2,3459.784,2176.672,6.0
3962,2173,1,2,3977.848,2181.692,6.0
4017,2184,4,5,4033.068,2192.736,24.0
3948,2173,2,3,3963.792,2181.692,12.0
3403,2173,2,3,3416.612,2181.692,12.0
3578,2178,1,2,3592.312,2186.712,6.0
3377,2180,3,4,3390.508,2188.72,18.0
3752,2184,1,2,3767.008,2192.736,6.0
3775,2181,4,5,3790.1,2189.724,24.0
3767,2185,1,2,3782.068,2193.74,6.0
3524,2195,2,3,3538.096,2203.78,12.0
4075,2195,1,2,4091.3,2203.78,6.0
4050,2195,2,3,4066.2,2203.78,12.0
4043,2200,1,2,4059.172,2208.8,6.0
3395,2199,4,5,3408.58,2207.796,24.0
4003,2205,2,3,4019.012,2213.82,12.0
4042,2205,1,2,4058.168,2213.82,6.0
4062,2207,1,2,4078.248,2215.828,6.0
4043,2206,1,2,4059.172,2214.824,6.0
3489,2217,3,4,3502.956,2225.868,18.0
3467,2216,3,4,3480.868,2224.864,18.0
4034,2216,3,4,4050.136,2224.864,18.0
4043,2215,1,2,4059.172,2223.86,6.0
3873,2216,1,2,3888.492,2224.864,6.0
3403,2220,1,2,3416.612,2228.88,6.0
3792,2224,1,2,3807.168,2232.896,6.0
4023,2223,1,2,4039.092,2231.892,6.0
4036,2227,1,2,4052.1440000000002,2235.908,6.0
3520,2233,1,2,3534.08,2241.932,6.0
3605,2240,4,5,3619.42,2248.96,24.0
3404,2250,4,5,3417.616,2259.0,24.0
3637,2239,1,2,3651.5480000000002,2247.956,6.0
4042,2242,1,2,4058.168,2250.968,6.0
3999,2248,1,2,4014.996,2256.992,6.0
3812,2259,3,4,3827.248,2268.036,18.0
3829,2249,1,2,3844.316,2257.996,6.0
3831,2255,4,5,3846.324,2264.02,24.0
3407,2259,1,2,3420.628,2268.036,6.0
3729,2261,4,5,3743.916,2270.044,24.0
3962,2263,2,3,3977.848,2272.052,12.0
3684,2269,1,2,3698.736,2278.076,6.0
3413,2276,1,2,3426.652,2285.104,6.0
4020,2282,2,3,4036.08,2291.128,12.0
4044,2281,3,4,4060.176,2290.124,18.0
3815,2291,1,2,3830.26,2300.164,6.0
7544,2296,1,2,7574.176,2305.184,6.0
3717,2320,2,3,3731.868,2329.28,12.0
4011,2316,5,6,4027.044,2325.264,30.0
3415,2321,1,2,3428.66,2330.284,6.0
3947,2332,3,4,3962.788,2341.328,18.0
3460,2329,4,5,3473.84,2338.316,24.0
4005,2335,3,4,4021.02,2344.34,18.0
3640,2342,1,2,3654.56,2351.368,6.0
3819,2347,1,2,3834.276,2356.388,6.0
3990,2347,4,5,4005.96,2356.388,24.0
3415,2357,4,5,3428.66,2366.428,24.0
3876,2358,1,2,3891.504,2367.432,6.0
3725,2359,1,2,3739.9,2368.436,6.0
3439,2368,1,2,3452.756,2377.472,6.0
3405,2372,1,2,3418.62,2381.488,6.0
3844,2379,1,2,3859.376,2388.516,6.0
3968,2378,4,5,3983.872,2387.512,24.0
3579,2382,1,2,3593.316,2391.528,6.0
3978,2382,1,2,3993.912,2391.528,6.0
3554,2384,2,3,3568.216,2393.536,12.0
3727,2383,1,2,3741.908,2392.532,6.0
3444,2384,2,3,3457.776,2393.536,12.0
3506,2386,1,2,3520.024,2395.544,6.0
3700,2385,1,2,3714.8,2394.54,6.0
3422,2388,3,4,3435.688,2397.552,18.0
3782,2389,1,2,3797.128,2398.556,6.0
3486,2394,1,2,3499.944,2403.576,6.0
3977,2396,2,3,3992.908,2405.584,12.0
3575,2397,2,3,3589.3,2406.588,12.0
3724,2410,1,2,3738.896,2419.64,6.0
3654,2419,1,2,3668.616,2428.676,6.0
3560,2423,1,2,3574.2400000000002,2432.692,6.0
3978,2424,1,2,3993.912,2433.696,6.0
3964,2427,4,5,3979.856,2436.708,24.0
3674,2426,1,2,3688.696,2435.704,6.0
3809,2430,1,2,3824.236,2439.72,6.0
3437,2433,2,3,3450.748,2442.732,12.0
3936,2432,4,5,3951.744,2441.728,24.0
3726,2439,1,2,3740.904,2448.756,6.0
3446,2446,1,2,3459.784,2455.784,6.0
3598,2447,1,2,3612.392,2456.788,6.0
3931,2453,1,2,3946.724,2462.812,6.0
3923,2457,5,6,3938.692,2466.828,30.0
3580,2464,1,2,3594.32,2473.856,6.0
3979,2464,1,2,3994.916,2473.856,6.0
3433,2466,1,2,3446.732,2475.864,6.0
3454,2477,1,2,3467.816,2486.908,6.0
3601,2475,1,2,3615.404,2484.9,6.0
3439,2484,1,2,3452.756,2493.936,6.0
3507,2486,1,2,3521.028,2495.944,6.0
3923,2489,1,2,3938.692,2498.956,6.0
3902,2489,1,2,3917.608,2498.956,6.0
3418,2489,1,2,3431.672,2498.956,6.0
3450,2502,1,2,3463.8,2512.008,6.0
3937,2500,1,2,3952.748,2510.0,6.0
3415,2504,1,2,3428.66,2514.016,6.0
3429,2503,1,2,3442.716,2513.012,6.0
3472,2508,1,2,3485.888,2518.032,6.0
3739,2506,4,5,3753.956,2516.024,24.0
3904,2508,2,3,3919.616,2518.032,12.0
3460,2513,4,5,3473.84,2523.052,24.0
3806,2517,1,2,3821.224,2527.068,6.0
3940,2520,1,2,3955.76,2530.08,6.0
3422,2523,2,3,3435.688,2533.092,12.0
3908,2527,4,5,3923.632,2537.108,24.0
3439,2530,1,2,3452.756,2540.12,6.0
3462,2537,4,5,3475.848,2547.148,24.0
3848,2537,1,2,3863.392,2547.148,6.0
3906,2544,1,2,3921.624,2554.176,6.0
3887,2541,4,5,3902.5480000000002,2551.164,24.0
3802,2546,1,2,3817.208,2556.184,6.0
3435,2548,3,4,3448.7400000000002,2558.192,18.0
3868,2552,3,4,3883.472,2562.208,18.0
3805,2558,3,4,3820.22,2568.232,18.0
3670,2555,1,2,3684.68,2565.22,6.0
3944,2555,1,2,3959.776,2565.22,6.0
3424,2564,1,2,3437.696,2574.256,6.0
3859,2567,2,3,3874.436,2577.268,12.0
3887,2565,2,3,3902.5480000000002,2575.26,12.0
3766,2573,3,4,3781.064,2583.292,18.0
3616,2572,1,2,3630.464,2582.288,6.0
3871,2571,1,2,3886.484,2581.284,6.0
3444,2569,4,5,3457.776,2579.276,24.0
3831,2580,2,3,3846.324,2590.32,12.0
3903,2577,1,2,3918.612,2587.308,6.0
3400,2578,3,4,3413.6,2588.312,18.0
3418,2578,1,2,3431.672,2588.312,6.0
